page-links,page-links-href,title,authors,conference,link
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Google News Personalization: Scalable Online Collaborative Filtering,"Abhinandan Das, Mayur Datar, Ashutosh Garg, Shyam Rajaram","Proceedings of WWW 2007, pp. 271-280",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,UX management: current and future trends,"Janice A. Rohn, Kathy Baxter, Catherine Courage, Janaki Kumar, Carola Fellenz Thompson, Steve Rogers","CHI'13 Extended Abstracts on Human Factors in Computing Systems, ACM (2013), pp. 2413-2418",
Data Mining,http://research.google.com/pubs/DataMining.html,Improved classification through runoff elections,"Oleg Golubitsky, Stephen M. Watt","Proceedings of the 9th IAPR International Workshop on Document Analysis Systems, ACM, Boston (2010), pp. 59-64",
Machine Perception,http://research.google.com/pubs/MachinePerception.html,An Overview of the Tesseract OCR Engine,Ray Smith,"Proc. Ninth Int. Conference on Document Analysis and Recognition (ICDAR), IEEE Computer Society (2007), pp. 629-633",/pubs/archive/33418.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Names and Similarities on the Web: Fact Extraction in the Fast Lane,"Marius Pasca, Dekang Lin, Jeffrey Bigham, Andrei Lifchits, Alpa Jain","Proceedings of the 21st International Conference on Computational Linguistics and 44th Annual Meeting of the Association for Computational Linguistics (COLING-ACL-06), Sydney, Australia (2006), pp. 809-816",/pubs/archive/68.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Graphical Models of the Visual Cortex,Thomas Dean,"Heuristics, Probability and Causality, College Publications, King's College London, Strand, London WC2R 2LS, UK (2010), pp. 121-142",/pubs/archive/36272.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Learning Binary Codes for High Dimensional Data Using Bilinear Projections,"Yunchao Gong, Sanjiv Kumar, Henry Rowley, Svetlana Lazebnik",IEEE Computer Vision and Pattern Recognition (2013),/pubs/archive/40753.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Detecting Image Spam using Visual Features and Near Duplicate Detection,"Bhaskar Mehta, Saurabh Nangia, Manish Gupta, Wolgang Nejdl",Proceedings of WWW 2008,
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Speaker Adaptation of Context Dependent Deep Neural Networks,Hank Liao,"International Conference of Acoustics, Speech, and Signal Processing. (2013)",/pubs/archive/40836.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Applications of Maximum Entropy Rankers to Problems in Spoken Language Processing,"Richard Sproat, Keith Hall","Interspeech 2014, International Speech Communications Association",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Neighborhood Preserving Codes for Assigning Point Labels: Applications to Stochastic Search,"Shumeet Baluja, Michele Covell","Procedia Computer Science: 2013 International Conference on Computational Science, Elsevier, pp. 956-965",
General Science,http://research.google.com/pubs/GeneralScience.html,Advanced DSP for 400 Gb/s and Beyond Optical Networks,"Xiang Zou, Lynn Nelson","J. Lightwave Technology, vol. 32 (2014), pp. 2716-2725",/pubs/archive/43831.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Statistical Natural Language Processing,Mehryar Mohri,"Applied Combinatorics on Words, Cambridge University Press (2005)",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Word Usage and Posting Behaviors: Modeling Bloggers with Unobtrusive Data Collection Methods,"Adam Kramer, Kerry Rodden",Proceedings of ACM CHI 2008,/pubs/archive/33450.pdf
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,Exploiting Service Usage Information for Optimizing Server Resource Management,"Alexander Totok, Vijay Karamcheti","ACM Transactions on Internet Technology (TOIT), vol. 11 (2011), pp. 1-26",/pubs/archive/37194.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Rogue Femtocell Owners: How Mallory Can Monitor My Devices,"David Malone, Darren F Kavanagh, Niall Richard Murphy","2013 Proceedings IEEE INFOCOM, IEEE, New Jersey, USA, pp. 3553-3558",/pubs/archive/41331.pdf
General Science,http://research.google.com/pubs/GeneralScience.html,Finite-State Transducers in Computational Biology,"Corinna Cortes, Mehryar Mohri","Tutorial presented at the 13th Annual International Conference on Intelligent Systems for Molecular Biology (ISMB 2005), Detroit, MI",
Data Mining,http://research.google.com/pubs/DataMining.html,A Tale of Two (Similar) Cities: Inferring City Similarity Through Geo-Spatial Query Log Analysis,"Rohan Seth, Michele Covell, Deepak Ravichandran, D. Sivakumar, Shumeet Baluja",Proceedings of the International Conference on Knowledge Discovery and Information Retrieval (2011),/pubs/archive/37632.pdf
Networking,http://research.google.com/pubs/Networking.html,Topology discovery in heterogeneous IP networks: the,"Yuri Breitbart, Minos N. Garofalakis, Ben Jai, Cliff Martin, Rajeev Rastogi, Avi Silberschatz","IEEE/ACM Trans. Netw., vol. 12 (2004), pp. 401-414",
Machine Translation,http://research.google.com/pubs/MachineTranslation.html,Mining Parenthetical Translations from the Web by Word Alignment,"Dekang Lin, Shaojun Zhao, Benjamin Van Durme, Marius Pasca","Proceedings of the 46th Annual Meeting of the Association for Computational Linguistics: Human Language Technologies (ACL-2008), Columbus, Ohio, pp. 994-1002",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,ZARATHUSTRA: Extracting WebInject Signatures from Banking Trojans,"Claudio Criscione, Fabio Bosatelli, Stefano Zanero, Federico Maggi","Twelfth Annual International Conference on Privacy, Security and Trust, IEEE (2014), pp. 139-148",/pubs/archive/43021.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Document Image Analysis (Chapter 18),"Dan Bloomberg, Luc Vincent","Mathematical morphology: theory and applications, ISTE-Wiley (2010), pp. 425-438",/pubs/archive/36668.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Designing Usable Web Forms - Empirical Evaluation of Web Form Improvement Guidelines,"Mirjam Seckler, Silvia Heinz, Javier Bargas-Avila, Klaus Opwis, Alexandre Tuch","Proceedings of the 2014 annual conference on Human factors in computing systems (2014), pp. 1275-1284",/pubs/archive/42513.pdf
Networking,http://research.google.com/pubs/Networking.html,RFC7304 - A Method for Mitigating Namespace Collisions,Warren Kumari,"IETF RFCs, Internet Engineering Task Force (2014)",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Training and Testing Low-degree Polynomial Data Mappings via Linear SVM,"Yin-Wen Chang, Cho-Jui Hsieh, Kai-Wei Chang, Michael Ringgaard, Chih-Jen Lin","Journal of Machine Learning Research, vol. 11(Apr) (2010), 1471[?]1490",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Reverse Iterative Deepening for Finite-Horizon MDPs with Large Branching Factors,"Andrey Kolobov, Peng Dai, Mausam, Daniel S Weld",International Conference on Automated Planning and Scheduling (2012),/pubs/archive/37750.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Automatic Language Identification Using Deep Neural Networks,"Ignacio Lopez-Moreno, Javier Gonzalez-Dominguez, Oldrich Plchot","Proc. ICASSP, IEEE (2014)",/pubs/archive/42538.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Cluster Ranking with an Application to Mining Mailbox Networks,"Ziv Bar-Yossef, Ido Guy, Ronny Lempel, Yoelle S. Maarek, Vladimir Soroka","ICDM (2006), pp. 63-74",/pubs/archive/32589.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Finding topic trends in digital libraries,"Levent Bolelli, Seyda Ertekin, Ding Zhou, C. Lee Giles","JCDL '09: Proceedings of the 9th ACM/IEEE-CS joint conference on Digital libraries, ACM, New York, NY, USA (2009), pp. 69-72",
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,CloudScale: elastic resource scaling for multi-tenant cloud systems,"Zhiming Shen, Sethuraman Subbiah, Xiaohui Gu, John Wilkes","Symposium on Cloud Computing (SoCC), ACM, Cascais, Portugal (2011)",/pubs/archive/41687.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Income Inequality in the Attention Economy,Kevin S. McCurley,"Google, Inc. (2008)",/pubs/archive/33367.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Permutation Indexing: Fast Approximate Retrieval from Large Corpora,"Maxim Gurevich, Tamas Sarlos","22nd International Conference on Information and Knowledge Management (CIKM), ACM (2013)",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Sensemaking workshop CHI 2009,"Daniel M Russell, George Furnas, Mark Stefik, Stuart Card, Peter Pirolli","ACM Press (2009), pp. 3891-3984",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Combinational Collaborative Filtering for Personalized Community Recommendation,"Wen-Yen Chen, Dong Zhang, Edward Chang","ACM SIGKDD Int'l Conference on Knowledge Discovery and Data Mining (KDD), ACM (2008), pp. 115-123",/pubs/archive/34704.pdf
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,Dynamic iSCSI at Scale: Remote Paging at Google,Nick Black,Linux Plumbers Conference 2015,/pubs/archive/43886.pdf
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,Ad auctions with data,"Hu Fu, Patrick R. Jordan, Mohammad Mahdian, Uri Nadav, Inbal Talgam-Cohen, Sergei Vassilvitskii","INFOCOM Workshops (2012), pp. 184-189",
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,A Note on Maximizing the Spread of Influence in Social Networks,"Eyal Even-Dar, Asaf Shapira","Internet and Network Economics (WINE), Springer, San Diego (2007), pp. 281-286",/pubs/archive/33395.pdf
General Science,http://research.google.com/pubs/GeneralScience.html,Energy Optimization in Wireless Medical Systems Using Physiological Behavior,"Hyduke Noshadi, Foad Dabiri, Saro Meguerdichian, Miodrag Potkonjak, Majid Sarrafzadeh","In Proceedings of the ACM, BMES conference of Wireless Health, ACM (2010), pp. 128-136",
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,RLint: Reformatting R Code to Follow the Google Style Guide,"Alex Blocker, Andy Chen, Andy Chu, Tim Hesterberg, Jeffrey D. Oldham, Caitlin Sadowski, Tom Zhang",R User Conference (2014),/pubs/archive/42577.pdf
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,From Research to Practice: Experiences Engineering a Production Metadata Database for a Scale Out File System,"Charles Johnson, Kimberly Keeton, Charles B. Morrey III, Craig A. N. Soules, Alistair Veitch, Stephen Bacon, Oskar Batuner, Marcelo Condotta, Hamilton Coutinho, Patrick J. Doyle, Rafael Eichelberger, Hugo Kiehl, Guilherme Magalhaes, James McEvoy, Padmanabhan Nagarajan, Patrick Osborne, Joaquim Souza, Andy Sparkes, Mike Spitzer, Sebastien Tandel, Lincoln Thomas, Sebastian Zangaro","Proceedings of the 12th USENIX Conference on File and Storage Technologies (FAST 2014), USENIX",
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Allocation Folding Based on Dominance,"Daniel Clifford, Hannes Payer, Michael Starzinger, Ben L. Titzer","Proceedings of the 2014 International Symposium on Memory Management, ACM, New York, NY, USA",/pubs/archive/42478.pdf
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,Datacenter-scale Computing,"Luiz Andre Barroso, Parthasarathy Ranganathan","IEEE Micro, vol. 30 (2010), pp. 6-7",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Global Design Teams: Best Practices for Maximizing Effectiveness,"Jhilmil Jain, Catherine Courage",uxmag.com (2013),/pubs/archive/40838.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Online Matching with Stochastic Rewards,"Aranyak Mehta, Debmalya Panigrahi","Symposium on Foundations of Computer Science (FOCS), IEEE (2012)",/pubs/archive/40363.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Learning Multiple Non-Linear Sub-Spaces using K-RBMs,"Siddhartha Chandra, Shailesh Kumar, C. V. Jawahar",Computer Vision and Pattern Recognition (2013),/pubs/archive/41320.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Cross-lingual Word Clusters for Direct Transfer of Linguistic Structure,"Oscar Tackstrom, Ryan McDonald, Jakob Uszkoreit",North American Association for Computational Linguistics (2012),/pubs/archive/38106.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,"Computers and iPhones and Mobile Phones, oh my! A logs-based comparison of search users on different devices","Maryam Kamvar, Melanie Kellar, Rajan Patel, Ya Xu","WWW 2009 MADRID, pp. 801-810",/pubs/archive/35252.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,LaDeDa: Languages for Debuggable Distributed Algorithms,"Mark S. Miller, Tom Van Cutsem",Lada 2012: Workshop on Languages for Distributed Algorithms (to appear),/pubs/archive/37626.pdf
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,Focus on the Long-Term: It's better for Users and Business,"Henning Hohnhold, Deirdre O'Brien, Diane Tang","Proceedings 21st Conference on Knowledge Discovery and Data Mining, ACM, Sydney, Australia (2015)",/pubs/archive/43887.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Say What? Why users choose to speak their web queries,"Maryam Kamvar, Doug Beeferman",Interspeech (2010),/pubs/archive/36577.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Answering Definition Questions via Temporally-Anchored Text Snippets,Marius Pasca,"Proceedings of the 3rd International Joint Conference on Natural Language Processing (IJCNLP-2008), Hyderabad, India, pp. 411-417",
